name,lat,lng
100 AM,1.274588218,103.8434707
313@Somerset,1.301385102,103.8376844
Aperia,1.310866728,103.8639296
Balestier Hill Shopping Centre,1.325595948,103.8425716
Bugis Cube,1.298140834,103.8556353
Bugis Junction,1.299112875,103.8554112
Bugis+,1.299609502,103.8531185
Capitol Piazza,1.293078848,103.851262
Cathay Cineleisure Orchard,1.301521019,103.8364297
Clarke Quay Central,1.289035925,103.8466849
The Centrepoint,1.301450455,103.8400341
City Square Mall,1.311393494,103.8564871
City Gate Mall,1.302207994,103.8625454
CityLink Mall,1.292777731,103.8541735
Duo,1.29916296,103.8578595
Far East Plaza,1.307304689,103.8338184
Funan,1.291612706,103.8494789
Great World City,1.293475962,103.8319759
HDB Hub,1.33201387,103.8498495
Holland Village Shopping Mall,1.310184627,103.79532
ION Orchard,1.303979741,103.8320323
Junction 8,1.350316,103.8484966
Knightsbridge,1.30310526,103.836202
Liat Towers,1.305087227,103.8307226
Lucky Plaza,1.304485791,103.8339419
Marina Bay Sands,1.282583367,103.8602202
The Shoppes at Marina Bay Sands,1.28423496,103.8589823
Marina Bay Link Mall,1.280031134,103.8542849
Marina Square,1.279114289,103.8512586
Millenia Walk,1.292679269,103.8603029
Mustafa Shopping Centre,1.309956873,103.8554787
Ngee Ann City,1.30227273,103.8348995
Orchard Central,1.300838908,103.8394347
Orchard Gateway,1.30160117,103.8388689
Orchard Plaza,1.305025626,103.8329575
Midpoint Orchard,1.301773133,103.8386597
Palais Renaissance,1.306654845,103.829588
People's Park Centre,1.284855884,103.8425999
People's Park Complex,1.284044879,103.8425908
Plaza Singapura,1.300820718,103.8450673
PoMo,1.30024079,103.8493053
Raffles City,1.293501325,103.8573075
Scotts Square,1.30579943,103.8330747
Shaw House and Centre,1.306219664,103.8318989
Sim Lim Square,1.302906588,103.8530319
Singapore Shopping Centre,1.286497018,103.8446287
The South Beach,1.294988044,103.8562762
Square 2,1.35626119,103.7037395
Sunshine Plaza,1.300467354,103.8505561
Suntec City,1.293501325,103.8573075
Tanglin Mall,1.304853421,103.8238835
Tanjong Pagar Centre,1.276583607,103.8459363
Tekka Centre,1.306224522,103.8506897
The Adelphi,1.291185037,103.8511843
The Paragon,1.303872309,103.8358575
Tiong Bahru Plaza,1.286299372,103.8280935
The Poiz,1.332027297,103.8686595
Thomson Plaza,1.354362827,103.8303094
United Square,1.31724363,103.8440031
Thomson V,1.353194953,103.8355647
Velocity@Novena Square,1.319961995,103.8439673
Wheelock Place,1.304676287,103.830642
Wisma Atria,1.303698907,103.8331896
Zhongshan Mall,1.326945045,103.8465544
Bedok Mall,1.324750542,103.9291892
Century Square,1.352368296,103.9438123
Changi City Point,1.334083638,103.962946
Downtown East,1.376590365,103.9556894
Djitsun Mall Bedok,1.326119703,103.9295545
Eastpoint Mall,1.342705924,103.9530246
Jewel Changi Airport,1.360231067,103.9894572
KINEX (formerly OneKM),1.314647017,103.894809
Katong Shopping Centre,1.303798132,103.9011617
Katong Square,1.304776839,103.9046177
Kallang Wave Mall,1.303075152,103.8731497
Leisure Park Kallang,1.302221774,103.8761527
i12 Katong,1.305223062,103.9050439
Our Tampines Hub,1.353495936,103.9401394
Parkway Parade,1.301887321,103.9059965
Paya Lebar Square,1.31881487,103.8925808
Paya Lebar Quarter (PLQ),1.317508599,103.8928743
Roxy Square,1.304325999,103.9040511
Singpost Centre,1.318996669,103.8948949
Tampines 1,1.343429662,103.9323543
Tampines Mall,1.352593614,103.944786
White Sands,1.372345191,103.9498054
City Plaza,1.314708663,103.8935086
Elias Mall,1.377905331,103.9423358
Loyang Point,1.367066342,103.9646356
888 Plaza,1.437118561,103.7953161
Admiralty Place,1.440420086,103.8015418
AMK Hub,1.389905905,103.8477378
Canberra Plaza,1.443495445,103.8303454
Causeway Point,1.436007845,103.7856887
Woodlands Civic Centre,1.435150244,103.7868161
Broadway Plaza,1.371937291,103.8459494
Jubilee Square,1.371785586,103.8478376
Junction 8,1.350316,103.8484966
Junction Nine,1.433060217,103.8416494
Marsiling Mall,1.433543181,103.7798819
Northpoint City,1.428225609,103.83642
Sembawang Shopping Centre,1.441853079,103.8249704
Sun Plaza,1.448194368,103.8194644
Vista Point,1.430801139,103.7941048
Wisteria Mall,1.417952885,103.8412688
Woodlands Mart,1.44564787,103.7981623
Woodlands North Plaza,1.442835921,103.7907708
Buangkok Square,1.384334266,103.8816231
Compass One,1.392054305,103.8950639
Greenwich V,1.387367695,103.869348
Heartland Mall,1.359541773,103.8851674
Hougang 1,1.375614641,103.8794835
Hougang Green Shopping Mall,1.379317835,103.8878471
Hougang Mall,1.372494938,103.8937756
NEX,1.350811673,103.8719657
Northshore Plaza,1.416761272,103.9020744
Oasis Terraces,1.40282352,103.9134614
Punggol Plaza,1.394174473,103.91312
Rivervale Mall,1.392217327,103.9044731
Rivervale Plaza,1.385504208,103.9019884
Sengkang Grand Mall,1.382981632,103.892721
The Seletar Mall,1.391470154,103.8761255
Upper Serangoon Shopping Centre,1.353480823,103.8788281
Waterway Point,1.406412835,103.9021889
myVillage At Serangoon Garden,1.365114906,103.8651595
Beauty World Centre,1.342412642,103.7765394
Beauty World Plaza,1.341800186,103.7762594
Bukit Panjang Plaza,1.379882914,103.7643778
Bukit Timah Plaza,1.338631653,103.7785854
Fajar Shopping Centre,1.383574699,103.7708685
Greenridge Shopping Centre,1.385295565,103.7661705
Hillion Mall,1.378411651,103.7638295
HillV2,1.362674508,103.7641729
Junction 10,1.38033681,103.7601679
Keat Hong Shopping Centre,1.377366074,103.7443936
Limbang Shopping Centre,1.392073887,103.7430996
Lot One,1.385069923,103.7452389
Rail Mall,1.357730502,103.7681377
Sunshine Place,1.32402554,103.7967866
Teck Whye Shopping Centre,1.38004753,103.7524838
West Mall,1.350375416,103.7491239
Yew Tee Point,1.397084324,103.746598
Yew Tee Square,1.398047361,103.7470848
321 Clementi,1.316550292,103.7663311
The Clementi Mall,1.314896196,103.7644231
IMM,1.334875261,103.7468948
JCube,1.333306338,103.7403024
Jem,1.33255233,103.7432622
